Factory Direct Homes Center - Retail Price Sheet 2026
Effective Date: April 16, 2026

ASPIRE SINGLE WIDE - 14' SERIES (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
Aspire 1432,448,1,1,13'4",32',"$46,561","$41,905","$4,656"
Aspire 1440,560,1,1,13'4",40',"$50,153","$45,138","$5,015"
Aspire 1444,616,1,1,13'4",44',"$54,160","$48,744","$5,416"
Aspire 1452,728,2,1,13'4",52',"$59,648","$53,683","$5,965"
Aspire 1456,784,2,1,13'4",56',"$62,654","$56,389","$6,265"
Aspire 1460,840,2,1,13'4",60',"$65,660","$59,094","$6,566"
Aspire 1466,924,3,2,13'4",66',"$72,171","$64,954","$7,217"
Aspire 1470,980,3,2,13'4",70',"$75,677","$68,109","$7,568"
Aspire 1476,1064,3,2,13'4",76',"$80,684","$72,616","$8,068"

ASPIRE SINGLE WIDE - 16' SERIES (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
Aspire 1652,832,2,1,15'2",52',"$65,661","$59,095","$6,566"
Aspire 1656,896,2,2,15'2",56',"$68,667","$61,800","$6,867"
Aspire 1660,960,2,2,15'2",60',"$72,173","$64,956","$7,217"
Aspire 1664,1024,3,2,15'2",64',"$76,180","$68,562","$7,618"
Aspire 1666,1056,3,2,15'2",66',"$78,684","$70,816","$7,868"
Aspire 1668,1088,3,2,15'2",68',"$80,187","$72,168","$8,019"
Aspire 1672,1152,3,2,15'2",72',"$84,194","$75,775","$8,419"
Aspire 1676,1216,3,2,15'2",76',"$87,700","$78,930","$8,770"

ASPIRE SINGLE WIDE - 18' SERIES (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
Aspire 1852,878,2,2,16'10",52',"$70,166","$63,149","$7,017"
Aspire 1856,945,3,2,16'10",56',"$74,674","$67,207","$7,467"
Aspire 1860,1008,3,2,16'10",60',"$78,681","$70,813","$7,868"
Aspire 1864,1072,3,2,16'10",64',"$82,188","$73,969","$8,219"
Aspire 1866,1100,3,2,16'10",66',"$84,692","$76,223","$8,469"
Aspire 1868,1133,3,2,16'10",68',"$86,696","$78,026","$8,670"
Aspire 1872,1197,3,2,16'10",72',"$90,703","$81,633","$9,070"
Aspire 1876,1261,3,2,16'10",76',"$94,210","$84,789","$9,421"

ASPIRE SECTIONAL - DOUBLE WIDE SERIES (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
40' Monroe,1120,2,2,28',40',"$83,722","$75,350","$8,372"
Appleton,1176,3,2,28',42',"$87,729","$78,956","$8,773"
44' Monroe,1232,2,2,28',44',"$91,235","$82,112","$9,124"
44' Bayfield,1232,3,2,28',44',"$94,241","$84,817","$9,424"
48' Monroe,1344,3,2,28',48',"$100,754","$90,679","$10,075"
48' Lancaster,1344,3,2,28',48',"$101,757","$91,581","$10,176"
48' Bayfield,1344,3,2,28',48',"$102,760","$92,484","$10,276"
48' Brighton,1344,3,2,28',48',"$102,259","$92,033","$10,226"
48' Lincoln,1344,3,2,28',48',"$95,237","$85,713","$9,524"
52' Ventura,1456,3,2,28',52',"$107,772","$96,995","$10,777"
52' Pontiac,1456,3,2,28',52',"$108,775","$97,898","$10,878"
52' Lancaster,1456,3,2,28',52',"$107,270","$96,543","$10,727"
52' Bayfield,1456,3,2,28',52',"$108,273","$97,446","$10,827"
52' Brighton,1456,3,2,28',52',"$108,273","$97,446","$10,827"
52' Lincoln,1456,3,2,28',52',"$101,251","$91,126","$10,125"
52' Warren,1456,3,2,28',52',"$108,273","$97,446","$10,827"
52' Jackson,1456,3,2,28',52',"$108,273","$97,446","$10,827"
Pierre,1456,3,2,28',52',"$107,772","$96,995","$10,777"
52' Summit,1456,3,2,28',52',"$106,268","$95,641","$10,627"
Livingston,1456,3,2,28',52',"$107,772","$96,995","$10,777"
